# Petrel well heads — UWI WELL X(lon) Y(lat) KB TD OPERATOR FIELD
UWI	WELL	X	Y	KB	TD	OPERATOR	FIELD
US42232000350000	STATE MAR 035H	-101.5605	32.1277		13443.7	Devon Energy	Wolfcamp Play
US42447000270000	STATE MID 027	-102.6232	32.4717		14139.3	SM Energy	Spraberry Trend
US42208000050000	STATE LOV 005H	-102.5149	32.3697		12588.1	Diamondback Energy	Spraberry Trend
US42254000430000	STATE PEC 043H	-102.3986	32.2754		14886.9	Marathon Oil	Wolfcamp Play
US42319000060000	STATE LOV 006H	-103.1021	32.3467		11566.7	ConocoPhillips	Delaware Basin
US42350000440000	STATE REE 044H	-101.1372	31.1583		13801.0	Diamondback Energy	Bone Spring
US42306000180000	STATE CRA 018	-101.384	31.1798		12161.6	Coterra Energy	Bone Spring
US42100000090000	STATE CRA 009	-102.7899	31.8984		10540.9	Pioneer Natural Resources	Delaware Basin
US42443000110000	STATE CRA 011H	-102.9666	31.9748		8847.0	EOG Resources	Midland Basin
US42477000290000	STATE ECT 029	-103.2252	32.0059		14445.4	ConocoPhillips	Spraberry Trend
US42120000240000	STATE WAR 024	-103.7647	32.3484		8719.6	SM Energy	Delaware Basin
US42396000310000	STATE REE 031	-103.3721	31.91		12729.4	Diamondback Energy	Midland Basin
US42468000080000	STATE LOV 008	-102.7479	31.3951		14388.4	SM Energy	Delaware Basin
US42342000130000	STATE AND 013H	-102.8446	31.3645		8660.3	Coterra Energy	Wolfcamp Play
US42399000370000	STATE ECT 037	-104.4316	32.4191		11338.9	Coterra Energy	Wolfcamp Play
US42473000020000	STATE MAR 002	-104.0631	31.6891		11864.3	SM Energy	Delaware Basin
US42453000490000	STATE WAR 049	-103.7427	31.2777		13072.1	Devon Energy	Midland Basin
US42141000360000	STATE AND 036H	-103.6906	31.2076		9497.7	EOG Resources	Bone Spring
US42482000170000	STATE MAR 017	-104.3245	31.4704		14435.7	Pioneer Natural Resources	Bone Spring
US42423000120000	STATE WAR 012	-104.2641	31.0883		10313.0	Devon Energy	Wolfcamp Play
